,Version,Success,Description
0,1.42.1,Y,
1,1.42.2,Y,
2,1.42.3,Y,
3,1.42.4,Y,
4,1.43.0,Y,
5,1.43.1,Y,
6,2.0.3,Y,
7,2.0.4,Y,
8,2.0.5,Y,
9,2.0.6,Y,
10,2.1.0,Y,
11,2.1.1,Y,
12,2.1.2,Y,
13,2.1.3,Y,
14,2.1.4,Y,
15,2.10.0,Y,
16,2.10.1,Y,
17,2.11.0,Y,
18,2.11.1,Y,
19,2.12.0,Y,
20,2.2.0,Y,
21,2.2.1,Y,
22,2.2.2,Y,
23,2.2.3,Y,
24,2.2.4,Y,
25,2.3.0,Y,
26,2.3.1,Y,
27,2.3.2,Y,
28,2.3.3,Y,
29,2.4.0,Y,
30,2.5.0,Y,
31,2.5.1,Y,
32,2.5.2,Y,
33,2.5.3,Y,
34,2.6.0,Y,
35,2.7.0,Y,
36,2.7.1,Y,
37,2.8.0,Y,
38,2.9.0,Y,
39,2.9.1,Y,
40,2.9.2,Y,
41,2.9.3,Y,
