,Version,Success,Description
0,0.0.0-canary-3f42963d,N,Library loading error.
1,0.0.0-next-20221114103805,N,Library loading error.
2,0.0.0-next-20221114112532,N,Library loading error.
3,0.0.0-next-20221114134810,N,Library loading error.
4,0.0.0-next-20221114140827,N,Library loading error.
5,0.16.0,N,Library loading error.
6,0.16.1,N,Library loading error.
7,0.16.10,N,Library loading error.
8,0.16.11,N,Library loading error.
9,0.16.12,N,Library loading error.
10,0.16.13,N,Library loading error.
11,0.16.14,N,Library loading error.
12,0.16.15,N,Library loading error.
13,0.16.16,N,Library loading error.
14,0.16.17,N,Library loading error.
15,0.16.18,N,Library loading error.
16,0.16.19,N,Library loading error.
17,0.16.2,N,Library loading error.
18,0.16.3,N,Library loading error.
19,0.16.4,N,Library loading error.
20,0.16.5,N,Library loading error.
21,0.16.6,N,Library loading error.
22,0.16.7,N,Library loading error.
23,0.16.8,N,Library loading error.
24,0.16.9,N,Library loading error.
25,1.0.0,N,Library loading error.
26,1.0.0-next-20221114221321,N,Library loading error.
27,1.0.0-next-20221115000153,N,Library loading error.
28,1.0.0-next-20221115211006,N,Library loading error.
29,1.0.0-next-20221115212933,N,Library loading error.
30,1.0.0-next-20221115215013,N,Library loading error.
31,1.0.0-next-20221115221831,N,Library loading error.
32,1.0.0-next-20221115230557,N,Library loading error.
33,1.0.0-next-20221116101027,N,Library loading error.
34,1.0.0-next-20221116132434,N,Library loading error.
35,1.0.0-next-20221116231918,N,Library loading error.
36,1.0.0-next-20221118115537,N,Library loading error.
37,1.0.0-next-20221118141100,N,Library loading error.
38,1.0.0-next.1,N,Library loading error.
39,1.0.0-next.10,N,Library loading error.
40,1.0.0-next.11,N,Library loading error.
41,1.0.0-next.12,N,Library loading error.
42,1.0.0-next.13,N,Library loading error.
43,1.0.0-next.14,N,Library loading error.
44,1.0.0-next.15,N,Library loading error.
45,1.0.0-next.16,N,Library loading error.
46,1.0.0-next.17,N,Library loading error.
47,1.0.0-next.18,N,Library loading error.
48,1.0.0-next.19,N,Library loading error.
49,1.0.0-next.2,N,Library loading error.
50,1.0.0-next.20,N,Library loading error.
51,1.0.0-next.21,N,Library loading error.
52,1.0.0-next.22,N,Library loading error.
53,1.0.0-next.23,N,Library loading error.
54,1.0.0-next.24,N,Library loading error.
55,1.0.0-next.25,N,Library loading error.
56,1.0.0-next.26,N,Library loading error.
57,1.0.0-next.27,N,Library loading error.
58,1.0.0-next.28,N,Library loading error.
59,1.0.0-next.3,N,Library loading error.
60,1.0.0-next.30,N,Library loading error.
61,1.0.0-next.31,N,Library loading error.
62,1.0.0-next.32,N,Library loading error.
63,1.0.0-next.33,N,Library loading error.
64,1.0.0-next.34,N,Library loading error.
65,1.0.0-next.35,N,Library loading error.
66,1.0.0-next.36,N,Library loading error.
67,1.0.0-next.37,N,Library loading error.
68,1.0.0-next.38,N,Library loading error.
69,1.0.0-next.39,N,Library loading error.
70,1.0.0-next.4,N,Library loading error.
71,1.0.0-next.5,N,Library loading error.
72,1.0.0-next.6,N,Library loading error.
73,1.0.0-next.7,N,Library loading error.
74,1.0.0-next.8,N,Library loading error.
75,1.0.0-next.9,N,Library loading error.
76,1.0.1,N,Library loading error.
77,1.0.1-next-20221118224314,N,Library loading error.
78,1.0.1-next-20221118225717,N,Library loading error.
79,1.0.2,N,Library loading error.
80,1.0.2-canary-b1acc2e,N,Library loading error.
81,1.0.2-next-20221208105144,N,Library loading error.
82,1.0.2-next-20221208111742,N,Library loading error.
83,1.0.3,N,Library loading error.
84,1.0.3-next-20221209074120,N,Library loading error.
85,1.0.4,N,Library loading error.
86,1.0.4-canary-22ced1f,N,Library loading error.
87,1.0.4-canary-64beb56,N,Library loading error.
88,1.0.4-canary-b79fce7,N,Library loading error.
89,1.0.4-canary-bfa9995,N,Library loading error.
90,1.0.4-canary-c10cc36,N,Library loading error.
91,1.0.4-next-20221213145512,N,Library loading error.
92,1.0.4-next-20221213150400,N,Library loading error.
93,1.0.4-next-20221213151731,N,Library loading error.
94,1.0.4-next-20221214142939,N,Library loading error.
95,1.0.4-next-20221214162748,N,Library loading error.
96,1.0.4-next-20221214212338,N,Library loading error.
97,1.0.4-next-20221214220313,N,Library loading error.
98,1.0.4-next-20221214225656,N,Library loading error.
99,1.0.4-next-20221214233525,N,Library loading error.
100,1.0.4-next-20221215155811,N,Library loading error.
101,1.0.4-next-20221215161255,N,Library loading error.
102,1.0.4-next-20221215164455,N,Library loading error.
103,1.0.4-next-20221215171134,N,Library loading error.
104,1.0.5,N,Library loading error.
105,1.0.5-next-20221218112843,N,Library loading error.
106,1.0.5-next-20221220021500,N,Library loading error.
107,1.0.5-next-20221220080151,N,Library loading error.
108,1.0.6,N,Library loading error.
109,1.0.6-next-20221226215136,N,Library loading error.
110,1.0.7,N,Library loading error.
111,1.0.7-next-20230124084504,N,Library loading error.
112,1.1.0-next-20221226213230,N,Library loading error.
