,Version,Success,Description
0,1.1.1,N,Library loading error.
1,1.1.2,N,Library loading error.
2,1.1.3,N,Library loading error.
3,1.1.4,N,Library loading error.
4,1.1.5,Y,
5,1.1.6,Y,
6,1.1.7,Y,
7,2.0.0,Y,
8,2.0.0-beta.1,Y,
9,2.0.1,Y,
10,2.0.10,Y,
11,2.0.11,Y,
12,2.0.12,Y,
13,2.0.13,Y,
14,2.0.13.1,Y,
15,2.0.132,Y,
16,2.0.14,Y,
17,2.0.15,Y,
18,2.0.16,N,Library loading error.
19,2.0.17,N,Library loading error.
20,2.0.2,Y,
21,2.0.3,Y,
22,2.0.4,Y,
23,2.0.5,Y,
24,2.0.6,Y,
25,2.0.7,Y,
26,2.0.8,Y,
27,2.0.9,Y,
28,2.1.0,N,Library loading error.
