,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.2.0,N,Library loading error.
3,0.3.0,Y,
4,0.3.1,Y,
5,0.3.2,Y,
6,0.3.3,Y,
7,0.4.0,Y,
8,0.4.1,Y,
9,0.4.2,Y,
10,0.4.3,Y,
11,0.4.4,Y,
12,0.4.5,Y,
13,0.4.6,Y,
14,0.4.7,Y,
15,0.5.0,Y,
16,0.5.1,Y,
17,0.5.2,Y,
18,0.5.3,Y,
19,0.5.4,Y,
20,0.5.5,Y,
21,0.5.6,Y,
22,0.5.7,Y,
23,0.5.8,Y,
24,0.6.0,Y,
25,1.0.0,Y,
26,1.0.1,Y,
27,1.0.2,Y,
28,1.0.3,Y,
29,1.0.4,Y,
30,1.1.0,Y,
31,1.1.1,Y,
32,1.1.2,Y,
33,1.1.3,Y,
34,1.1.4,Y,
35,1.1.5,Y,
36,1.1.6,Y,
37,1.1.7,Y,
38,1.10.0,Y,
39,1.10.1,Y,
40,1.10.2,Y,
41,1.11.0,Y,
42,1.12.0,Y,
43,1.12.1,Y,
44,1.13.0,N,Library loading error.
45,1.13.0-0,N,Library loading error.
46,1.13.0-3,N,Library loading error.
47,1.13.1,Y,
48,1.13.2,Y,
49,1.13.3,Y,
50,1.13.4,Y,
51,1.13.5,Y,
52,1.13.6,Y,
53,1.2.0,Y,
54,1.2.1,Y,
55,1.2.2,Y,
56,1.2.3,Y,
57,1.2.4,Y,
58,1.3.0,Y,
59,1.3.1,Y,
60,1.3.2,Y,
61,1.3.3,Y,
62,1.4.0,Y,
63,1.4.1,Y,
64,1.4.2,Y,
65,1.4.3,Y,
66,1.4.4,Y,
67,1.5.0,Y,
68,1.5.1,Y,
69,1.5.2,Y,
70,1.6.0,Y,
71,1.7.0,Y,
72,1.8.0,Y,
73,1.8.1,Y,
74,1.8.2,Y,
75,1.8.3,Y,
76,1.9.0,Y,
77,1.9.1,Y,
78,1.9.2,Y,
