,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.1.0,N,Library loading error.
2,1.2.0,N,Library loading error.
3,1.3.0,N,Library loading error.
4,1.3.1,N,Library loading error.
5,1.3.2,N,Library loading error.
6,1.3.3,N,Library loading error.
7,1.3.4,N,Library loading error.
8,1.4.0,N,Library loading error.
9,1.4.1,N,Library loading error.
10,1.4.2,N,Library loading error.
11,1.4.3,N,Library loading error.
12,1.5.0,N,Library loading error.
13,1.5.3,N,Library loading error.
14,1.5.4,N,Library loading error.
15,2.0.1,N,Library loading error.
16,2.0.2,N,Library loading error.
17,2.0.3,N,Library loading error.
18,2.0.4,N,Library loading error.
19,2.0.5,N,Library loading error.
20,2.0.6,N,Library loading error.
21,2.1.0,N,Library loading error.
22,2.1.1,N,Library loading error.
23,2.1.2,N,Library loading error.
24,2.2.0,N,Library loading error.
25,2.2.1,N,Library loading error.
26,2.2.2,N,Library loading error.
27,2.2.3,N,Library loading error.
28,2.2.4,N,Library loading error.
29,2.2.5,N,Library loading error.
30,2.2.6,N,Library loading error.
31,2.3.0,N,Library loading error.
32,2.3.1,N,Library loading error.
33,2.4.0,N,Library loading error.
34,2.4.1,N,Library loading error.
35,2.4.2,N,Library loading error.
36,2.5.0,N,Library loading error.
37,2.5.1,N,Library loading error.
38,2.5.2,N,Library loading error.
39,2.6.0,N,Library loading error.
40,2.6.1,N,Library loading error.
41,2.6.2,N,Library loading error.
42,2.6.3,N,Library loading error.
43,2.6.4,N,Library loading error.
44,2.6.5,N,Library loading error.
45,3.0.0,Y,
46,3.0.0-beta.0,Y,
47,3.0.0-beta.1,Y,
48,3.0.0-beta.10,Y,
49,3.0.0-beta.11,Y,
50,3.0.0-beta.12,Y,
51,3.0.0-beta.13,Y,
52,3.0.0-beta.14,Y,
53,3.0.0-beta.15,Y,
54,3.0.0-beta.16,Y,
55,3.0.0-beta.17,Y,
56,3.0.0-beta.18,Y,
57,3.0.0-beta.19,Y,
58,3.0.0-beta.2,Y,
59,3.0.0-beta.20,Y,
60,3.0.0-beta.21,Y,
61,3.0.0-beta.22,Y,
62,3.0.0-beta.23,Y,
63,3.0.0-beta.24,Y,
64,3.0.0-beta.25,Y,
65,3.0.0-beta.26,Y,
66,3.0.0-beta.27,Y,
67,3.0.0-beta.28,Y,
68,3.0.0-beta.29,Y,
69,3.0.0-beta.3,Y,
70,3.0.0-beta.30,Y,
71,3.0.0-beta.31,Y,
72,3.0.0-beta.32,Y,
73,3.0.0-beta.33,Y,
74,3.0.0-beta.34,Y,
75,3.0.0-beta.35,Y,
76,3.0.0-beta.36,Y,
77,3.0.0-beta.37,Y,
78,3.0.0-beta.38,Y,
79,3.0.0-beta.39,Y,
80,3.0.0-beta.4,Y,
81,3.0.0-beta.5,Y,
82,3.0.0-beta.6,Y,
83,3.0.0-beta.7,Y,
84,3.0.0-beta.8,Y,
85,3.0.0-beta.9,Y,
86,3.0.0-rc1,Y,
87,3.0.0-rc2,Y,
88,3.0.0-rc3,Y,
89,3.0.0-rc4,Y,
90,3.0.0-rc5,Y,
91,3.0.0-rc6,Y,
92,3.0.0-rc7,Y,
93,3.0.1,Y,
94,3.0.10,Y,
95,3.0.2,Y,
96,3.0.3,Y,
97,3.0.4,Y,
98,3.0.5,Y,
99,3.0.6,Y,
100,3.0.7,Y,
101,3.0.8,Y,
102,3.0.9,Y,
103,3.1.0,Y,
104,3.2.0,Y,
105,3.2.1,Y,
106,3.3.0,Y,
107,3.3.1,Y,
108,4.0.0,Y,
109,4.0.0-rc.1,Y,
110,4.0.0-rc.2,Y,
111,4.0.0-rc.3,Y,
112,4.1.0,Y,
113,4.2.0,Y,
114,4.3.0,Y,
115,4.4.0,Y,
116,5.0.0,Y,
117,5.0.0-rc1,Y,
118,5.0.0-rc2,Y,
119,5.0.0-rc3,Y,
120,5.0.0-rc4,Y,
121,5.0.0-rc5,Y,
122,5.1.0,Y,
123,5.10.0,Y,
124,5.10.1,Y,
125,5.11.0,Y,
126,5.11.1,Y,
127,5.12.0,Y,
128,5.12.1,Y,
129,5.12.2,Y,
130,5.12.3,Y,
131,5.13.0,Y,
132,5.14.0,Y,
133,5.15.0,Y,
134,5.16.0,Y,
135,5.16.1,Y,
136,5.17.0,Y,
137,5.17.1,Y,
138,5.17.2,Y,
139,5.17.3,Y,
140,5.18.0,Y,
141,5.19.0,Y,
142,5.19.1,Y,
143,5.2.0,Y,
144,5.20.0,Y,
145,5.20.1,Y,
146,5.20.2,Y,
147,5.21.0,Y,
148,5.22.0,Y,
149,5.22.1,Y,
150,5.23.0,Y,
151,5.24.0,Y,
152,5.25.0,Y,
153,5.26.0,Y,
154,5.26.1,Y,
155,5.3.0,Y,
156,5.3.1,Y,
157,5.3.2,Y,
158,5.3.3,Y,
159,5.3.4,Y,
160,5.3.5,Y,
161,5.4.0,Y,
162,5.5.0,Y,
163,5.5.1,Y,
164,5.5.2,Y,
165,5.5.3,Y,
166,5.6.0,Y,
167,5.7.0,Y,
168,5.7.1,Y,
169,5.7.2,Y,
170,5.7.3,Y,
171,5.8.0,Y,
172,5.8.1,Y,
173,5.9.0,Y,
174,5.9.1,Y,
175,5.9.2,Y,
