,Version,Success,Description
0,0.0.0,Y,
1,0.0.1,Y,
2,0.0.10,Y,
3,0.0.11,Y,
4,0.0.12,Y,
5,0.0.13,Y,
6,0.0.14,Y,
7,0.0.15,Y,
8,0.0.16,Y,
9,0.0.17,Y,
10,0.0.18,Y,
11,0.0.19,Y,
12,0.0.20,Y,
13,0.0.21,Y,
14,0.0.22,Y,
15,0.0.23,Y,
16,0.0.3,Y,
17,0.0.4,Y,
18,0.0.5,Y,
19,0.0.51,Y,
20,0.0.52,Y,
21,0.0.53,Y,
22,0.0.54,Y,
23,0.0.55,Y,
24,0.0.9,Y,
25,0.1.0,Y,
26,0.10.0,Y,
27,0.10.1,Y,
28,0.11.0,Y,
29,0.11.1,Y,
30,0.11.2,Y,
31,0.11.5,Y,
32,0.11.6,Y,
33,0.11.7,Y,
34,0.11.8,Y,
35,0.11.9,Y,
36,0.2.0,Y,
37,0.2.1,Y,
38,0.3.0,Y,
39,0.4.0,Y,
40,0.4.1,Y,
41,0.5.0,Y,
42,0.5.1,Y,
43,0.5.2,Y,
44,0.5.3,Y,
45,0.6.0,Y,
46,0.7.0,Y,
47,0.8.0,Y,
48,0.9.0,Y,
49,1.0.0,Y,
50,1.1.0,Y,
51,1.2.0,Y,
52,1.2.1,Y,
53,1.2.2,Y,
54,1.2.3,Y,
55,1.3.0,Y,
56,1.3.1,Y,
57,1.3.2,Y,
58,1.4.0,Y,
59,1.4.1,Y,
60,1.4.2,Y,
61,1.4.3,Y,
62,1.5.0,Y,
63,1.5.1,Y,
64,1.5.2,Y,
65,2.0.0,Y,
66,2.0.1,Y,
67,2.0.2,Y,
68,2.0.3,Y,
69,2.0.4,Y,
70,2.0.5,Y,
71,2.0.6,Y,
