,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.10.0,N,Library loading error.
3,0.2.0,Y,
4,0.3.0,Y,
5,0.3.1,Y,
6,0.3.2,Y,
7,0.3.3,Y,
8,0.4.0,Y,
9,0.5.0,Y,
10,0.5.1,Y,
11,0.6.0,Y,
12,0.6.1,Y,
13,0.6.2,Y,
14,0.7.0,N,Library loading error.
15,0.7.1,N,Library loading error.
16,0.7.2,N,Library loading error.
17,0.8.0,N,Library loading error.
18,0.9.0,N,Library loading error.
19,1.0.0,N,Library loading error.
20,1.0.0-beta,N,Library loading error.
21,1.0.0-beta.1,N,Library loading error.
22,1.0.0-beta.2,N,Library loading error.
23,1.0.0-rc,N,Library loading error.
24,1.0.0-rc.1,N,Library loading error.
25,1.0.1,N,Library loading error.
26,1.1.0,N,Library loading error.
27,1.10.0,N,Library loading error.
28,1.10.1,N,Library loading error.
29,1.10.2,N,Library loading error.
30,1.10.3,N,Library loading error.
31,1.10.4,N,Library loading error.
32,1.10.5,N,Library loading error.
33,1.11.0,N,Library loading error.
34,1.11.1,N,Library loading error.
35,1.11.2,N,Library loading error.
36,1.11.3,N,Library loading error.
37,1.11.4,N,Library loading error.
38,1.11.5,N,Library loading error.
39,1.11.6,N,Library loading error.
40,1.2.0,N,Library loading error.
41,1.2.1,N,Library loading error.
42,1.3.0,N,Library loading error.
43,1.3.1,N,Library loading error.
44,1.3.2,N,Library loading error.
45,1.3.3,N,Library loading error.
46,1.3.4,N,Library loading error.
47,1.3.5,N,Library loading error.
48,1.3.6,N,Library loading error.
49,1.3.7,N,Library loading error.
50,1.4.0,N,Library loading error.
51,1.5.0,N,Library loading error.
52,1.6.0,N,Library loading error.
53,1.6.1,N,Library loading error.
54,1.6.2,N,Library loading error.
55,1.7.0,N,Library loading error.
56,1.7.1,N,Library loading error.
57,1.8.0,N,Library loading error.
58,1.9.0,N,Library loading error.
59,1.9.1,N,Library loading error.
60,1.9.2,N,Library loading error.
