,Version,Success,Description
0,0.3.0,Y,
1,0.4.0,Y,
2,0.5.0,Y,
3,0.5.1,Y,
4,0.6.0,Y,
5,0.6.1,Y,
6,0.7.0,Y,
7,0.7.1,Y,
8,0.7.2,Y,
9,0.7.3,Y,
10,0.7.4,Y,
11,1.0.0,Y,
12,1.0.1,Y,
13,1.0.2,Y,
14,1.1.0,Y,
15,2.0.0,Y,
16,3.0.0,Y,
17,3.1.0,Y,
18,3.10.0,Y,
19,3.11.0,Y,
20,3.12.0,Y,
21,3.2.0,Y,
22,3.3.0,Y,
23,3.4.0,Y,
24,3.4.1,Y,
25,3.4.2,Y,
26,3.5.0,Y,
27,3.6.0,Y,
28,3.6.1,Y,
29,3.6.2,Y,
30,3.6.3,Y,
31,3.6.4,Y,
32,3.7.0,Y,
33,3.7.1,Y,
34,3.7.2,Y,
35,3.8.0,Y,
36,3.9.0,Y,
37,3.9.1,Y,
38,4.0.0,Y,
39,4.1.0,Y,
40,4.10.0,Y,
41,4.11.0,Y,
42,4.12.0,Y,
43,4.13.0,Y,
44,4.14.0,Y,
45,4.15.0,Y,
46,4.15.1,Y,
47,4.16.0,Y,
48,4.16.1,Y,
49,4.17.0,Y,
50,4.18.0,Y,
51,4.18.1,Y,
52,4.19.0,Y,
53,4.19.1,Y,
54,4.2.0,Y,
55,4.20.0,Y,
56,4.20.1,Y,
57,4.21.0,Y,
58,4.21.0-SNAPSHOT,Y,
59,4.3.0,Y,
60,4.4.0,Y,
61,4.5.0,Y,
62,4.5.1,Y,
63,4.6.0,Y,
64,4.7.0,Y,
65,4.8.0,Y,
66,4.8.1,Y,
67,4.8.2,Y,
68,4.9.0,Y,
