,Version,Success,Description
0,1.0.4,Y,
1,1.0.5,Y,
2,1.1.0,Y,
3,1.2.0,Y,
4,1.2.1,Y,
5,1.2.3,Y,
6,1.2.4,Y,
7,1.2.5,Y,
8,2.0.0,Y,
9,2.0.1,Y,
10,2.0.2,Y,
11,2.1.0,Y,
12,2.1.1,Y,
13,2.1.2,Y,
14,2.2.0,Y,
15,2.3.0,Y,
16,2.3.1,Y,
17,2.3.2,Y,
18,2.3.3,Y,
19,2.3.4,Y,
20,2.3.5,Y,
21,2.3.6,Y,
22,2.3.7,Y,
23,2.3.8,Y,
24,2.4.0,Y,
25,2.4.1,Y,
26,2.5.0,Y,
27,3.0.0,Y,
28,3.0.1,Y,
29,3.0.2,Y,
30,3.0.3,Y,
31,3.0.4,Y,
32,3.0.5,Y,
33,3.0.6,Y,
34,3.0.7,Y,
35,3.0.8,Y,
36,3.0.9,Y,
37,4.0.0,Y,
38,4.0.1,Y,
39,4.0.2,Y,
40,4.1.0,Y,
41,4.1.1,Y,
42,4.2.0,Y,
43,4.2.1,Y,
44,4.2.2,Y,
45,4.2.3,Y,
46,4.3.0,Y,
47,4.3.1,Y,
48,4.3.2,Y,
49,4.3.3,Y,
50,4.3.4,Y,
51,4.3.5,Y,
52,4.3.6,Y,
53,4.3.7,Y,
54,4.3.8,Y,
55,4.4.0,Y,
56,4.4.1,Y,
57,4.4.3,Y,
58,4.5.0,Y,
59,4.5.1,Y,
60,4.5.2,Y,
61,4.5.3,Y,
62,4.5.4,Y,
63,4.5.5,Y,
64,4.6.0,Y,
65,4.6.1,Y,
66,4.6.2,Y,
67,4.6.3,Y,
68,4.7.0,Y,
69,4.7.1,Y,
70,4.7.2,Y,
71,4.7.3,Y,
72,4.8.0,Y,
73,4.9.0,Y,
