,Version,Success,Description
0,0.1.0,N,Library loading error.
1,0.1.1,Y,
2,0.1.10,Y,
3,0.1.11,Y,
4,0.1.12,Y,
5,0.1.13,Y,
6,0.1.14,Y,
7,0.1.15,Y,
8,0.1.16,Y,
9,0.1.17,Y,
10,0.1.2,Y,
11,0.1.3,Y,
12,0.1.4,Y,
13,0.1.5,Y,
14,0.1.6,Y,
15,0.1.7,Y,
16,0.1.8,Y,
17,0.1.9,Y,
18,0.5.0,Y,
19,0.5.1,Y,
20,0.6.0,Y,
21,0.6.1,Y,
22,0.7.0,Y,
23,0.7.1,Y,
24,0.7.2,N,Library loading error.
25,0.7.3,N,Library loading error.
26,0.7.4,N,Library loading error.
27,0.8.0,N,Library loading error.
28,0.9.0,N,Library loading error.
29,0.9.1,N,Library loading error.
30,0.9.2,N,Library loading error.
31,0.9.3,N,Library loading error.
32,1.0.0,N,Library loading error.
33,1.0.1,N,Library loading error.
34,1.0.2,N,Library loading error.
35,1.0.3,N,Library loading error.
36,1.1.0,N,Library loading error.
37,1.1.1,N,Library loading error.
38,1.1.2,N,Library loading error.
39,1.2.0,N,Library loading error.
40,1.2.1,N,Library loading error.
41,1.3.0,N,Library loading error.
42,1.3.1,N,Library loading error.
43,1.3.2,N,Library loading error.
44,1.3.3,N,Library loading error.
45,1.3.4,N,Library loading error.
46,1.3.5,Y,
47,1.3.6,Y,
48,1.4.0,Y,
49,1.5.0,Y,
50,1.5.1,Y,
51,1.5.2,Y,
52,1.5.3,Y,
