,Version,Success,Description
0,0.1.0,Y,
1,0.1.1,Y,
2,0.1.2,Y,
3,1.0.0,Y,
4,1.0.1,Y,
5,1.0.10,Y,
6,1.0.11,Y,
7,1.0.2,Y,
8,1.0.3,Y,
9,1.0.7,Y,
10,1.0.8,Y,
11,1.0.9,Y,
12,1.1.0,Y,
13,1.1.1,Y,
14,1.1.10,Y,
15,1.1.11,Y,
16,1.1.12,Y,
17,1.1.13,Y,
18,1.1.14,Y,
19,1.1.15,Y,
20,1.1.16,Y,
21,1.1.17,Y,
22,1.1.18,Y,
23,1.1.19,Y,
24,1.1.2,Y,
25,1.1.20,Y,
26,1.1.21,Y,
27,1.1.22,Y,
28,1.1.23,Y,
29,1.1.24,Y,
30,1.1.25,Y,
31,1.1.26,Y,
32,1.1.27,Y,
33,1.1.28,Y,
34,1.1.29,Y,
35,1.1.3,Y,
36,1.1.30,Y,
37,1.1.31,Y,
38,1.1.32,Y,
39,1.1.33,Y,
40,1.1.34,Y,
41,1.1.35,Y,
42,1.1.36,Y,
43,1.1.37,Y,
44,1.1.38,Y,
45,1.1.4,Y,
46,1.1.40,Y,
47,1.1.5,Y,
48,1.1.6,Y,
49,1.1.7,Y,
50,1.1.8,Y,
51,1.1.9,Y,
