,Version,Success,Description
0,1.3.12.1,N,Library loading error.
1,1.3.13,N,Library loading error.
2,1.3.13.1,N,Library loading error.
3,1.3.13.2,N,Library loading error.
4,1.4.0,N,Library loading error.
5,10.0.13,Y,
6,2.0.0,N,Unknown fault.
7,2.0.1,N,Unknown fault.
8,2.0.10,N,Unknown fault.
9,2.0.11,N,Unknown fault.
10,2.0.12,N,Unknown fault.
11,2.0.13,N,Unknown fault.
12,2.0.14,N,Unknown fault.
13,2.0.15,N,Unknown fault.
14,2.0.15.1,N,Unknown fault.
15,2.0.16,N,Unknown fault.
16,2.0.16.1,N,Unknown fault.
17,2.0.16.2,N,Unknown fault.
18,2.0.17,N,Unknown fault.
19,2.0.18.1,N,Unknown fault.
20,2.0.19,N,Unknown fault.
21,2.0.2,N,Unknown fault.
22,2.0.20,N,Unknown fault.
23,2.0.21,N,Unknown fault.
24,2.0.3,N,Unknown fault.
25,2.0.4,N,Unknown fault.
26,2.0.5,N,Unknown fault.
27,2.0.5.1,N,Unknown fault.
28,2.0.6,N,Unknown fault.
29,2.0.7,N,Unknown fault.
30,2.0.8,N,Unknown fault.
31,2.0.9,N,Unknown fault.
32,2.1.0,N,Unknown fault.
33,2.1.1,N,Unknown fault.
34,2.1.10,N,Unknown fault.
35,2.1.11,N,Unknown fault.
36,2.1.12,N,Unknown fault.
37,2.1.13,N,Unknown fault.
38,2.1.14,N,Unknown fault.
39,2.1.15,N,Unknown fault.
40,2.1.16,N,Unknown fault.
41,2.1.17,N,Unknown fault.
42,2.1.18,N,Unknown fault.
43,2.1.19,N,Unknown fault.
44,2.1.2,N,Unknown fault.
45,2.1.20,N,Unknown fault.
46,2.1.21,N,Unknown fault.
47,2.1.22,N,Unknown fault.
48,2.1.23,N,Unknown fault.
49,2.1.3,N,Unknown fault.
50,2.1.4,N,Unknown fault.
51,2.1.5,N,Unknown fault.
52,2.1.6,N,Unknown fault.
53,2.1.7,N,Unknown fault.
54,2.1.8,N,Unknown fault.
55,2.1.9,N,Unknown fault.
56,3.0.0,Y,
57,3.0.1,Y,
58,3.0.10,Y,
59,3.0.11,Y,
60,3.0.12,Y,
61,3.0.13,Y,
62,3.0.14,Y,
63,3.0.15,Y,
64,3.0.16,Y,
65,3.0.17,Y,
66,3.0.2,Y,
67,3.0.3,Y,
68,3.0.4,Y,
69,3.0.5,Y,
70,3.0.6,Y,
71,3.0.7,Y,
72,3.0.8,Y,
73,3.0.9,Y,
74,3.1.0,Y,
75,3.1.1,Y,
76,4.6.11,Y,
77,4.6.12,Y,
78,4.6.13,Y,
79,4.6.14,Y,
80,4.6.15,Y,
81,4.6.16,Y,
82,4.6.17,Y,
83,4.7.0,Y,
84,4.7.1,Y,
85,4.7.10,Y,
86,4.7.11,Y,
87,4.7.12,Y,
88,4.7.13,Y,
89,4.7.2,Y,
90,4.7.3,Y,
91,4.7.4,Y,
92,4.7.5,Y,
93,4.7.6,Y,
94,4.7.7,Y,
95,4.7.8,Y,
96,4.7.9,Y,
