,Version,Success,Description
0,1.0.19,Y,
1,1.0.31,Y,
2,1.1.0,Y,
3,1.1.1,Y,
4,1.1.2,Y,
5,1.3.0,Y,
6,1.5.10,Y,
7,1.5.11,Y,
8,1.5.12,Y,
9,1.5.13,Y,
10,1.5.14,Y,
11,1.5.15,Y,
12,1.5.16,Y,
13,1.5.17,Y,
14,1.5.18,Y,
15,1.5.19,Y,
16,1.5.20,Y,
17,1.5.21,Y,
18,1.5.8,Y,
19,1.5.9,Y,
20,1.6.0,Y,
21,1.6.1,Y,
22,1.6.10,Y,
23,1.6.11,Y,
24,1.6.12,Y,
25,1.6.13,Y,
26,1.6.14,Y,
27,1.6.15,Y,
28,1.6.16,Y,
29,1.6.17,Y,
30,1.6.18,Y,
31,1.6.19,Y,
32,1.6.2,Y,
33,1.6.20,Y,
34,1.6.21,Y,
35,1.6.22,Y,
36,1.6.23,Y,
37,1.6.24,Y,
38,1.6.25,Y,
39,1.6.26,Y,
40,1.6.27,Y,
41,1.6.28,Y,
42,1.6.3,Y,
43,1.6.4,Y,
44,1.6.5,Y,
45,1.6.6,Y,
46,1.6.7,Y,
47,1.6.8,Y,
48,1.6.9,Y,
