,Version,Success,Description
0,0.2.0,Y,
1,0.2.2,Y,
2,0.2.3,Y,
3,0.3.0,Y,
4,0.4.0,Y,
5,0.4.1,Y,
6,0.4.2,Y,
7,0.4.3,Y,
8,1.0.0,Y,
9,1.0.1,Y,
10,1.0.2,Y,
11,1.1.0,Y,
12,1.1.1,Y,
13,1.1.2,Y,
14,1.1.3,Y,
15,2.0.0,Y,
16,2.0.1,Y,
17,2.1.1,Y,
18,2.1.2,Y,
19,2.1.3,Y,
20,2.1.4,Y,
21,2.2.0,Y,
22,2.3.0,Y,
23,2.4.1,Y,
24,2.4.2,Y,
25,2.4.3,Y,
26,2.4.4,Y,
27,2.5.0,Y,
28,2.5.1,Y,
29,2.5.12,Y,
30,2.5.13,Y,
31,2.5.14,Y,
32,2.5.15,Y,
33,2.5.16,Y,
34,2.5.4,Y,
35,2.5.6,Y,
36,2.5.8,Y,
37,2.5.9,Y,
38,2.6.0,Y,
39,2.6.3,Y,
40,2.6.4,Y,
41,2.6.5,Y,
42,2.6.7,Y,
