,Version,Success,Description
0,0.0.4,N,Library loading error.
1,0.0.5,N,Library loading error.
2,0.0.6,N,Library loading error.
3,0.0.7,N,Library loading error.
4,0.10.1,Y,
5,0.10.2,Y,
6,0.11.1,Y,
7,0.11.2,Y,
8,0.12.0-dev.3,Y,
9,1.0.0,Y,
10,1.0.1,Y,
11,1.0.2,Y,
12,1.1.0,Y,
13,1.1.1,Y,
14,1.1.10,Y,
15,1.1.12,Y,
16,1.1.13,Y,
17,1.1.14,Y,
18,1.1.2,Y,
19,1.1.3,Y,
20,1.1.4,Y,
21,1.1.5,Y,
22,1.1.6,Y,
23,1.1.7,Y,
24,1.1.8,Y,
25,1.1.9,Y,
26,1.2.0,Y,
27,1.2.3,Y,
28,1.2.4,Y,
29,1.2.5,Y,
30,1.2.6,Y,
31,2.0.0,N,Library loading error.
32,2.0.0-alpha.1,N,Library loading error.
33,2.0.0-beta.1,Y,
34,2.0.0-beta.2,Y,
35,2.0.0-beta.3,Y,
36,2.0.0-beta.4,Y,
37,2.0.0-beta.5,Y,
38,2.0.0-beta.6,Y,
39,2.0.0-beta.8,N,Library loading error.
40,2.0.0-beta.9,N,Library loading error.
41,2.0.0-beta.9.1,N,Library loading error.
42,2.1.0,N,Library loading error.
43,2.1.1,N,Library loading error.
44,2.1.2,N,Library loading error.
45,2.1.3,N,Library loading error.
46,2.1.4,N,Library loading error.
47,2.1.5,N,Library loading error.
48,2.1.6,N,Library loading error.
49,2.1.7,N,Library loading error.
50,2.1.8,N,Library loading error.
51,2.1.8-vrfix.1,N,Library loading error.
52,2.1.8-vrfix.2,N,Library loading error.
53,2.1.8-vrfix.3,N,Library loading error.
54,2.1.9,N,Library loading error.
55,2.2.0-alpha.0,Y,
56,2.2.0-beta.1,Y,
57,2.2.0-beta.2,Y,
