,Version,Success,Description
0,1.5.0,Y,
1,1.5.1,Y,
2,1.5.2,Y,
3,1.5.3,Y,
4,1.5.4,Y,
5,1.5.5,Y,
6,1.6.0,N,Library loading error.
7,1.7.0,N,Library loading error.
8,1.7.1,N,Library loading error.
9,1.7.10,N,Library loading error.
10,1.7.2,N,Library loading error.
11,1.7.3,N,Library loading error.
12,1.7.4,N,Library loading error.
13,1.7.5,N,Library loading error.
14,1.7.6,N,Library loading error.
15,1.7.7,N,Library loading error.
16,1.7.8,N,Library loading error.
17,1.7.9,N,Library loading error.
18,2.0.0,Y,
19,2.0.0-next.0,Y,
20,2.0.0-next.1,Y,
21,2.0.1,Y,
22,2.0.2,Y,
23,2.0.3,Y,
24,2.0.4,Y,
25,2.1.0,Y,
26,2.1.1,Y,
27,2.1.2,Y,
28,2.1.3,Y,
29,2.1.4,Y,
30,2.1.5,Y,
31,2.2.0,Y,
32,2.2.1,Y,
33,2.2.2,Y,
34,2.2.3,Y,
35,2.3.0,Y,
36,2.3.1,Y,
37,2.3.2,Y,
38,2.4.0,Y,
39,2.4.1,Y,
40,2.5.0,Y,
41,2.5.1,Y,
42,2.5.2,Y,
43,2.6.0,Y,
44,2.7.0,Y,
45,2.7.1,Y,
