,Version,Success,Description
0,0.2.0,Y,
1,0.3.0,Y,
2,0.4.0,Y,
3,0.4.0-beta1,Y,
4,0.4.0-beta2,Y,
5,0.4.1,Y,
6,0.4.10,Y,
7,0.4.11,Y,
8,0.4.12,Y,
9,0.4.13,Y,
10,0.4.14,Y,
11,0.4.15,Y,
12,0.4.16,Y,
13,0.4.17,Y,
14,0.4.2,Y,
15,0.4.3,Y,
16,0.4.4,Y,
17,0.4.5,Y,
18,0.4.6,Y,
19,0.4.7,Y,
20,0.4.8,Y,
21,0.4.9,Y,
22,0.5.0,Y,
23,0.5.0-beta1,Y,
24,0.5.0-beta10,Y,
25,0.5.0-beta11,Y,
26,0.5.0-beta12,Y,
27,0.5.0-beta13,Y,
28,0.5.0-beta14,Y,
29,0.5.0-beta2,Y,
30,0.5.0-beta3,Y,
31,0.5.0-beta4,Y,
32,0.5.0-beta5,Y,
33,0.5.0-beta6,Y,
34,0.5.0-beta7,Y,
35,0.5.0-beta8,Y,
36,0.5.0-beta9,Y,
37,0.5.1,Y,
38,0.5.2,Y,
39,0.5.3,Y,
40,0.5.4,Y,
41,0.5.5,Y,
42,0.6.0-beta,N,Library loading error.
43,0.6.0-beta1,N,Library loading error.
