,Version,Success,Description
0,3.0.0,Y,
1,3.0.0b1,Y,
2,3.0.0beta1m1,Y,
3,3.0.0beta1m2,Y,
4,3.0.0beta1m3,Y,
5,3.0.0pr2,Y,
6,3.1.0,Y,
7,3.1.0pr1,Y,
8,3.1.0pr2,Y,
9,3.1.1,Y,
10,3.1.2,Y,
11,3.10.0,Y,
12,3.10.0pr1,Y,
13,3.10.1,Y,
14,3.10.2,Y,
15,3.10.3,Y,
16,3.11.0,Y,
17,3.11.0pr1,Y,
18,3.12.0,Y,
19,3.13.0,Y,
20,3.14.0,Y,
21,3.14.1,Y,
22,3.15.0,Y,
23,3.16.0,Y,
24,3.17.0,Y,
25,3.17.1,Y,
26,3.17.1-rc-1,Y,
27,3.17.2,Y,
28,3.18.0,Y,
29,3.18.1,Y,
30,3.2.0,Y,
31,3.3.0,Y,
32,3.3.0pr1,Y,
33,3.3.0pr2,Y,
34,3.3.0pr3,Y,
35,3.3.0pr4,Y,
36,3.4.0,Y,
37,3.4.0pr1,Y,
38,3.4.0pr2,Y,
39,3.4.0pr3,Y,
40,3.4.1,Y,
41,3.4.1pr1,Y,
42,3.5.0,Y,
43,3.5.0pr1,Y,
44,3.5.0pr2,Y,
45,3.5.0pr3,Y,
46,3.5.0pr4,Y,
47,3.5.0pr6,Y,
48,3.5.1,Y,
49,3.6.0,Y,
50,3.6.0pr1,Y,
51,3.6.0pr2,Y,
52,3.6.0pr3,Y,
53,3.6.0pr4,Y,
54,3.7.0,Y,
55,3.7.0pr1,Y,
56,3.7.0pr2,Y,
57,3.7.1,Y,
58,3.7.2,Y,
59,3.7.3,Y,
60,3.8.0,Y,
61,3.8.0pr1,Y,
62,3.8.0pr2,Y,
63,3.8.1,Y,
64,3.9.0,Y,
65,3.9.0pr1,Y,
66,3.9.0pr2,Y,
67,3.9.0pr3,Y,
68,3.9.1,Y,
