,Version,Success,Description
0,1.0.8,Y,
1,1.0.9,Y,
2,1.1.0,Y,
3,1.1.1,Y,
4,1.1.2,Y,
5,1.1.3,Y,
6,1.1.4,Y,
7,1.1.5,Y,
8,1.1.6,Y,
9,1.1.7,Y,
10,1.2.0,Y,
11,1.2.1,Y,
12,1.2.2,Y,
13,1.2.3,Y,
14,1.3.0,Y,
15,1.3.0-beta.1,Y,
16,1.3.1,Y,
17,1.3.2,Y,
18,1.3.3,Y,
19,1.3.4,Y,
20,1.3.5,Y,
21,2.0.0,Y,
22,2.0.0-beta.4,Y,
23,2.0.0-beta.5,Y,
24,2.0.0-beta.6,Y,
25,2.0.0-beta.7,Y,
26,2.0.0-beta.8,Y,
27,2.0.1,Y,
28,2.0.2,Y,
29,2.0.3,Y,
30,2.1.0,Y,
31,2.1.1,Y,
32,2.1.2,Y,
33,2.1.3,Y,
34,2.1.4,Y,
35,2.1.5,Y,
36,2.1.6,Y,
37,2.2.0,Y,
38,2.3.0,Y,
