,Version,Success,Description
0,1.0.0,N,Library loading error.
1,1.0.1,N,Library loading error.
2,1.0.2,N,Library loading error.
3,1.0.3,N,Library loading error.
4,1.0.4,N,Library loading error.
5,1.0.5,N,Library loading error.
6,1.0.6,N,Library loading error.
7,1.0.7,N,Library loading error.
8,1.0.8,N,Library loading error.
9,1.0.9,N,Library loading error.
10,1.1.0,N,Library loading error.
11,1.1.1,N,Library loading error.
12,1.1.2,N,Library loading error.
13,2.0.0,N,Library loading error.
14,2.0.1,N,Library loading error.
15,2.0.2,N,Library loading error.
16,2.0.3,N,Library loading error.
17,2.0.4,N,Library loading error.
18,2.0.5,N,Library loading error.
19,2.0.6,N,Library loading error.
20,2.0.7,N,Library loading error.
21,2.0.8,N,Library loading error.
22,2.0.9,N,Library loading error.
23,2.1.0,N,Library loading error.
24,2.1.1,N,Library loading error.
25,3.0.0,N,Library loading error.
26,3.0.1,N,Library loading error.
27,3.0.2,N,Library loading error.
28,3.0.3,N,Library loading error.
29,3.0.4,N,Library loading error.
30,3.0.5,N,Library loading error.
31,3.0.6,N,Library loading error.
32,3.0.7,N,Library loading error.
33,3.0.8,N,Library loading error.
34,3.0.9,N,Library loading error.
35,3.1.0,N,Library loading error.
36,3.1.1,N,Library loading error.
37,3.1.2,N,Library loading error.
38,3.1.3,N,Library loading error.
39,3.2.0,N,Library loading error.
40,3.2.1,N,Library loading error.
41,3.2.2,N,Library loading error.
42,3.3.0,N,Library loading error.
43,3.4.0,N,Library loading error.
44,3.4.1,N,Library loading error.
45,3.4.2,N,Library loading error.
46,3.4.3,N,Library loading error.
47,3.4.4,N,Library loading error.
48,3.5.0,N,Library loading error.
49,3.5.1,N,Library loading error.
50,3.5.2,N,Library loading error.
51,3.6.0,N,Library loading error.
52,3.6.1,N,Library loading error.
53,4.0.5,Y,
54,4.0.6,Y,
55,4.0.7,Y,
56,4.1.0,Y,
57,4.1.1,Y,
58,4.1.2,Y,
59,4.2.0,Y,
60,4.3.0,Y,
61,4.3.1,Y,
62,4.3.2,Y,
63,5.0.0,Y,
64,5.0.0-alpha.1,Y,
65,5.0.0-alpha.2,Y,
66,5.0.0-beta.1,Y,
67,5.0.0-beta.2,Y,
68,5.0.1,Y,
69,5.0.3,Y,
70,5.0.4,Y,
71,5.1.0,Y,
72,5.1.1,Y,
73,5.2.0,Y,
74,5.2.1,Y,
75,5.3.0,Y,
76,5.3.1,Y,
77,5.3.2,Y,
78,5.4.0,Y,
79,5.4.1,Y,
80,5.4.2,Y,
81,5.4.3,Y,
82,5.4.4,Y,
