,Library,Equivalence,Color Set,Supertree Set,Min Cover Set,Get mT,Get Sm,Total
0,amplifyjs,8.702278137207031e-05,1.7881393432617188e-05,6.198883056640625e-06,2.6226043701171875e-06,2.1457672119140625e-06,4.0531158447265625e-06,0.00020313262939453125
1,backbone.js,0.003256082534790039,0.32503318786621094,0.0008156299591064453,0.0003159046173095703,0.00010156631469726562,1.0013580322265625e-05,0.3322939872741699
2,bootstrap,0.008543014526367188,0.23441600799560547,0.000461578369140625,0.0004315376281738281,0.00010132789611816406,6.198883056640625e-06,0.24594902992248535
3,camanjs,0.0038809776306152344,0.4275531768798828,0.0005691051483154297,0.0004508495330810547,0.0001239776611328125,4.673004150390625e-05,0.44503092765808105
4,core-js,0.1502547264099121,68.6183705329895,0.06537508964538574,0.027206897735595703,0.0013332366943359375,8.20159912109375e-05,68.99481701850891
5,d3,18.597819805145264,2098.474629163742,0.4495828151702881,0.10167717933654785,0.005404233932495117,0.00017189979553222656,2118.4138407707214
6,dc,0.0883018970489502,38.97795391082764,0.024494409561157227,0.007167816162109375,0.0011241436004638672,4.601478576660156e-05,39.358253955841064
7,dojo,1.3885197639465332,260.82658076286316,0.0401461124420166,0.014542102813720703,0.0007541179656982422,5.0067901611328125e-05,262.51307702064514
8,extjs,0.0050809383392333984,0.8245494365692139,0.0006577968597412109,0.0003662109375,1.9788742065429688e-05,1.6689300537109375e-06,0.8340847492218018
9,fabric.js,0.1787700653076172,588.741138458252,0.10586357116699219,0.018208026885986328,0.0016171932220458984,0.000125885009765625,589.4802210330963
10,fastclick,0.0004448890686035156,0.00014853477478027344,1.621246337890625e-05,1.4543533325195312e-05,1.1682510375976562e-05,8.106231689453125e-06,0.0007212162017822266
11,flexslider,0.000202178955078125,9.059906005859375e-06,2.86102294921875e-06,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07,0.00024199485778808594
12,flot,0.002650022506713867,0.002711772918701172,4.839897155761719e-05,3.218650817871094e-05,2.2411346435546875e-05,7.867813110351562e-06,0.0057408809661865234
13,fuse.js,0.005682945251464844,0.03914833068847656,0.00040793418884277344,0.00019812583923339844,0.00010728836059570312,8.96453857421875e-05,0.04676699638366699
14,google-closure-library,0.009068965911865234,0.1028745174407959,0.0002684593200683594,0.00021505355834960938,3.457069396972656e-05,5.0067901611328125e-06,0.1140139102935791
15,graphiql,1.6927719116210938e-05,4.0531158447265625e-06,2.1457672119140625e-06,3.0994415283203125e-06,3.814697265625e-06,2.1457672119140625e-06,5.0067901611328125e-05
16,hammer.js,0.0052530765533447266,0.2761869430541992,0.0007121562957763672,0.0003223419189453125,0.00012040138244628906,7.867813110351562e-06,0.4306368827819824
17,handlebars.js,0.02284383773803711,5.194044828414917,0.005056858062744141,0.0015282630920410156,0.00032067298889160156,2.4080276489257812e-05,5.245304107666016
18,handsontable,0.1500399112701416,93.49271631240845,0.0596005916595459,0.02606821060180664,0.0012905597686767578,0.0001270771026611328,93.82173919677734
19,headjs,0.0005800724029541016,0.0024764537811279297,4.458427429199219e-05,3.337860107421875e-05,1.7404556274414062e-05,4.291534423828125e-06,0.0033521652221679688
20,highcharts,0.2138669490814209,97.13321089744568,0.035661935806274414,0.009236574172973633,0.0007455348968505859,6.985664367675781e-05,97.50469708442688
21,ifvisible,0.000270843505859375,0.00010704994201660156,9.298324584960938e-06,6.67572021484375e-06,5.0067901611328125e-06,2.1457672119140625e-06,0.00047898292541503906
22,ink,2.4080276489257812e-05,2.1457672119140625e-06,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,0.0,4.57763671875e-05
23,jit,1.6927719116210938e-05,0.09254288673400879,0.00019812583923339844,0.00013589859008789062,1.3113021850585938e-05,1.9073486328125e-06,0.09430503845214844
24,jquery-mobile,0.000286102294921875,0.04873967170715332,0.00018215179443359375,9.489059448242188e-05,2.002716064453125e-05,6.9141387939453125e-06,0.05016684532165527
25,jquery-tools,1.9073486328125e-05,0.17857646942138672,0.00028705596923828125,0.0001506805419921875,1.049041748046875e-05,2.1457672119140625e-06,0.1811201572418213
26,jquery.isotope,0.0015311241149902344,0.015160083770751953,7.772445678710938e-05,5.7697296142578125e-05,1.5020370483398438e-05,4.0531158447265625e-06,0.017443180084228516
27,jquery,0.6006240844726562,365.31324911117554,0.06860733032226562,0.015415430068969727,0.0008072853088378906,6.103515625e-05,366.3030467033386
28,jqueryui,0.004587888717651367,1.4153108596801758,0.0017650127410888672,0.0005636215209960938,8.940696716308594e-05,1.0013580322265625e-05,1.4270520210266113
29,knockout,0.001683950424194336,12.397627353668213,0.002925872802734375,0.0015149116516113281,0.00010347366333007812,6.198883056640625e-06,12.502815008163452
30,labjs,5.793571472167969e-05,8.320808410644531e-05,6.9141387939453125e-06,5.9604644775390625e-06,2.86102294921875e-06,2.1457672119140625e-06,0.0002090930938720703
31,leaflet,0.03237462043762207,142.8822100162506,0.025612831115722656,0.008573055267333984,0.0005905628204345703,1.6927719116210938e-05,143.08340787887573
32,lodash.js,5.846271991729736,222.08164072036743,0.06600356101989746,0.012970447540283203,0.0009584426879882812,9.608268737792969e-05,228.2627558708191
33,mapbox.js,0.004661083221435547,0.7014870643615723,0.0006859302520751953,0.000354766845703125,2.3126602172851562e-05,2.1457672119140625e-06,0.7108838558197021
0,material-design-lite,0.0035309791564941406,0.0016345977783203125,6.222724914550781e-05,5.817413330078125e-05,3.361701965332031e-05,9.298324584960938e-06,0.005630970001220703
1,matter-js,0.005536079406738281,7.176203727722168,0.0033190250396728516,0.0011265277862548828,0.0001201629638671875,8.106231689453125e-06,7.198215961456299
2,modernizr,0.003435850143432617,0.24175095558166504,0.0007762908935546875,0.0002713203430175781,5.602836608886719e-05,6.9141387939453125e-06,0.2626638412475586
3,moment-timezone,0.010587930679321289,0.13476061820983887,0.0006570816040039062,0.00026416778564453125,0.0004622936248779297,0.00014901161193847656,0.14827179908752441
4,moment.js,0.03446483612060547,10.817002058029175,0.009631872177124023,0.004216432571411133,0.0004260540008544922,4.076957702636719e-05,10.88955283164978
5,mootools,0.002076864242553711,0.34052276611328125,0.0003867149353027344,0.00022029876708984375,1.4781951904296875e-05,1.9073486328125e-06,0.3455841541290283
6,mustache.js,0.0056819915771484375,0.05989265441894531,0.00043272972106933594,0.0002765655517578125,8.821487426757812e-05,3.0994415283203125e-05,0.06775665283203125
7,numeral.js,0.0028998851776123047,0.16126656532287598,0.0005750656127929688,0.00021409988403320312,8.416175842285156e-05,7.867813110351562e-06,0.16682791709899902
8,paper.js,0.0013968944549560547,0.005353450775146484,6.079673767089844e-05,4.9591064453125e-05,1.9311904907226562e-05,5.0067901611328125e-06,0.007195949554443359
9,pixi.js,0.9268500804901123,378.0535526275635,0.07022714614868164,0.02386188507080078,0.0010986328125,0.00042891502380371094,379.29348516464233
10,preact,0.011230945587158203,0.0014460086822509766,5.054473876953125e-05,4.1961669921875e-05,4.076957702636719e-05,1.1920928955078125e-05,0.013047933578491211
11,processing.js,0.017980098724365234,0.6469714641571045,0.0017154216766357422,0.0005433559417724609,9.799003601074219e-05,1.4066696166992188e-05,0.6711750030517578
12,prototype,0.0004220008850097656,0.5327112674713135,0.0005574226379394531,0.0002875328063964844,3.1948089599609375e-05,2.1457672119140625e-06,0.5372569561004639
13,pusher,0.009364843368530273,1.0262489318847656,0.0013089179992675781,0.0005085468292236328,6.270408630371094e-05,9.059906005859375e-06,1.0416991710662842
14,qooxdoo,0.018156051635742188,8.757144212722778,0.002936124801635742,0.0013682842254638672,0.00011110305786132812,5.602836608886719e-05,8.804704904556274
