,Library,Equivalence,Color Set,Supertree Set,Min Cover Set,Get mT,Get Sm,Total
0,amplifyjs,3.790855407714844e-05,8.106231689453125e-06,1.9073486328125e-06,2.1457672119140625e-06,0.0,0.0,8.511543273925781e-05
1,backbone.js,0.0035829544067382812,0.07626700401306152,0.0008246898651123047,0.0003299713134765625,0.00010561943054199219,1.0967254638671875e-05,0.08412504196166992
2,bootstrap,0.009591102600097656,0.03204751014709473,0.0004839897155761719,0.0004017353057861328,8.869171142578125e-05,5.9604644775390625e-06,0.04489302635192871
3,camanjs,0.004195213317871094,0.05585789680480957,0.0005381107330322266,0.0004680156707763672,0.00012564659118652344,4.57763671875e-05,0.07531595230102539
4,core-js,0.1506187915802002,6.0606536865234375,0.05959582328796387,0.02606034278869629,0.0022156238555908203,7.510185241699219e-05,6.433377027511597
5,d3,22.165494918823242,790.7780952453613,0.44806647300720215,0.10178351402282715,0.0038177967071533203,0.0005629062652587891,814.2873060703278
6,dc,0.08755016326904297,9.304404258728027,0.021867752075195312,0.0073010921478271484,0.0005497932434082031,5.1021575927734375e-05,9.683499097824097
7,dojo,1.3800239562988281,24.983928442001343,0.0377659797668457,0.014404773712158203,0.0005955696105957031,0.0001010894775390625,26.656785011291504
8,extjs,0.005112171173095703,0.09289288520812988,0.00064849853515625,0.00039505958557128906,1.9788742065429688e-05,2.1457672119140625e-06,0.10253524780273438
9,fabric.js,0.17937397956848145,48.910743951797485,0.09891653060913086,0.01836538314819336,0.0009710788726806641,0.00012111663818359375,49.647889375686646
10,fastclick,0.000469207763671875,0.00013566017150878906,1.5735626220703125e-05,1.5735626220703125e-05,1.33514404296875e-05,7.867813110351562e-06,0.0007350444793701172
11,flexslider,0.00021600723266601562,9.059906005859375e-06,2.86102294921875e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.00025391578674316406
12,flot,0.0029659271240234375,0.001184701919555664,5.078315734863281e-05,3.504753112792969e-05,2.7179718017578125e-05,7.867813110351562e-06,0.0045697689056396484
13,fuse.js,0.0060732364654541016,0.026439428329467773,0.0003879070281982422,0.0002503395080566406,0.00010657310485839844,8.797645568847656e-05,0.034510135650634766
14,google-closure-library,0.00904703140258789,0.025712013244628906,0.0002624988555908203,0.00021028518676757812,3.2901763916015625e-05,5.9604644775390625e-06,0.03682279586791992
15,graphiql,1.5974044799804688e-05,4.5299530029296875e-06,3.337860107421875e-06,2.86102294921875e-06,3.337860107421875e-06,1.9073486328125e-06,4.792213439941406e-05
16,hammer.js,0.0050258636474609375,0.0820927619934082,0.0007338523864746094,0.0003542900085449219,0.00018906593322753906,9.059906005859375e-06,0.09070634841918945
17,handlebars.js,0.022539138793945312,1.3612539768218994,0.004772663116455078,0.0015339851379394531,0.00023508071899414062,1.9073486328125e-05,1.39994215965271
18,handsontable,0.15165185928344727,7.924046516418457,0.05367851257324219,0.025182247161865234,0.0007030963897705078,7.414817810058594e-05,8.250094890594482
19,headjs,0.0005619525909423828,0.0012090206146240234,4.3392181396484375e-05,3.218650817871094e-05,1.5020370483398438e-05,3.814697265625e-06,0.002065896987915039
20,highcharts,0.21316885948181152,13.456510543823242,0.0326237678527832,0.00901174545288086,0.0005233287811279297,3.409385681152344e-05,13.827188968658447
21,ifvisible,0.00022411346435546875,6.413459777832031e-05,8.821487426757812e-06,5.0067901611328125e-06,3.814697265625e-06,2.1457672119140625e-06,0.00036406517028808594
22,ink,1.5735626220703125e-05,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,3.2901763916015625e-05
23,jit,2.09808349609375e-05,0.0038721561431884766,0.00020003318786621094,0.00013113021850585938,6.67572021484375e-06,9.5367431640625e-07,0.005590915679931641
24,jquery-mobile,0.00030732154846191406,0.009043216705322266,0.00019073486328125,9.1552734375e-05,1.33514404296875e-05,5.9604644775390625e-06,0.010818958282470703
25,jquery-tools,2.193450927734375e-05,0.014426946640014648,0.00030994415283203125,0.0001633167266845703,1.0967254638671875e-05,9.5367431640625e-07,0.016909122467041016
26,jquery.isotope,0.001753091812133789,0.0022509098052978516,8.630752563476562e-05,6.127357482910156e-05,1.1682510375976562e-05,4.0531158447265625e-06,0.0047760009765625
27,jquery,0.588087797164917,22.8442063331604,0.06421780586242676,0.015070438385009766,0.0009071826934814453,6.29425048828125e-05,23.79243278503418
28,jqueryui,0.0044231414794921875,0.19325876235961914,0.0016791820526123047,0.0005517005920410156,7.081031799316406e-05,7.867813110351562e-06,0.20460104942321777
29,knockout,0.0017049312591552734,0.6380214691162109,0.0028133392333984375,0.0014388561248779297,5.2928924560546875e-05,6.9141387939453125e-06,0.6717109680175781
30,labjs,5.793571472167969e-05,5.0067901611328125e-05,6.9141387939453125e-06,4.76837158203125e-06,4.0531158447265625e-06,2.1457672119140625e-06,0.00017404556274414062
31,leaflet,0.03243589401245117,5.176748991012573,0.02229022979736328,0.008645057678222656,0.00041794776916503906,2.7179718017578125e-05,5.397239923477173
32,lodash.js,5.821958065032959,47.736732959747314,0.06386804580688477,0.012839794158935547,0.0011696815490722656,8.869171142578125e-05,53.889912843704224
33,mapbox.js,0.0046291351318359375,0.04773664474487305,0.00067901611328125,0.0003533363342285156,2.0742416381835938e-05,1.6689300537109375e-06,0.13691091537475586
34,material-design-lite,0.0012798309326171875,0.0003604888916015625,2.3365020751953125e-05,2.002716064453125e-05,9.059906005859375e-06,3.814697265625e-06,0.0018029212951660156
35,matter-js,0.0054569244384765625,0.40082859992980957,0.002880096435546875,0.0010449886322021484,6.29425048828125e-05,8.821487426757812e-06,0.4222829341888428
36,modernizr,0.003371000289916992,0.09334707260131836,0.0007688999176025391,0.0003070831298828125,5.1975250244140625e-05,7.152557373046875e-06,0.113800048828125
37,moment-timezone,0.011999845504760742,0.07286739349365234,0.0006608963012695312,0.0002605915069580078,0.0001251697540283203,0.00013828277587890625,0.08790183067321777
38,moment.js,0.03468799591064453,2.4826819896698,0.007406711578369141,0.0029006004333496094,0.00018143653869628906,2.8371810913085938e-05,2.5527443885803223
39,mootools,0.002027750015258789,0.020012855529785156,0.0003941059112548828,0.00021004676818847656,1.4781951904296875e-05,3.0994415283203125e-06,0.025371789932250977
40,mustache.js,0.004609107971191406,0.028312206268310547,0.00042819976806640625,0.0002579689025878906,8.344650268554688e-05,0.00038695335388183594,0.03506779670715332
41,numeral.js,0.0034749507904052734,0.04320502281188965,0.0005064010620117188,0.00019693374633789062,6.079673767089844e-05,9.059906005859375e-06,0.04946303367614746
42,paper.js,0.0015141963958740234,0.0010800361633300781,6.699562072753906e-05,4.76837158203125e-05,2.1696090698242188e-05,5.9604644775390625e-06,0.0031011104583740234
43,pixi.js,0.9277448654174805,46.32320237159729,0.06389975547790527,0.022058963775634766,0.0007290840148925781,0.00036907196044921875,47.56646776199341
44,preact,0.011327981948852539,0.0009276866912841797,4.291534423828125e-05,3.790855407714844e-05,3.0517578125e-05,1.0967254638671875e-05,0.012593984603881836
45,processing.js,0.018002986907958984,0.0991811752319336,0.0017056465148925781,0.0005145072937011719,8.225440979003906e-05,1.1920928955078125e-05,0.12317705154418945
46,prototype,0.0004940032958984375,0.027999162673950195,0.0005512237548828125,0.00025582313537597656,1.7881393432617188e-05,3.0994415283203125e-06,0.03330206871032715
47,pusher,0.010347843170166016,0.15882277488708496,0.001211404800415039,0.0004680156707763672,5.14984130859375e-05,2.7894973754882812e-05,0.17554593086242676
48,qooxdoo,0.01795816421508789,0.351820707321167,0.002798795700073242,0.0011768341064453125,6.866455078125e-05,7.152557373046875e-06,0.39742517471313477
49,raphael,0.01585221290588379,1.099313497543335,0.003863811492919922,0.0019800662994384766,8.535385131835938e-05,6.318092346191406e-05,1.1471178531646729
50,require.js,0.01617598533630371,0.2980372905731201,0.0028107166290283203,0.0011091232299804688,0.0002765655517578125,1.9311904907226562e-05,0.3416891098022461
51,riot,0.2725791931152344,2.4396517276763916,0.022022485733032227,0.008848190307617188,0.0077016353607177734,9.799003601074219e-05,2.7758288383483887
52,sammy.js,0.00011897087097167969,0.0009198188781738281,3.9577484130859375e-05,2.3603439331054688e-05,1.2874603271484375e-05,1.9073486328125e-06,0.0013129711151123047
53,scrollmagic,4.506111145019531e-05,2.1457672119140625e-06,1.9073486328125e-06,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07,7.200241088867188e-05
54,seajs,0.000865936279296875,0.015302181243896484,0.0002536773681640625,0.00012969970703125,3.981590270996094e-05,4.76837158203125e-06,0.017943859100341797
55,socket.io,0.016796350479125977,0.1824021339416504,0.0018625259399414062,0.0007450580596923828,9.632110595703125e-05,1.7881393432617188e-05,0.20673012733459473
56,spf,0.00095367431640625,0.00033783912658691406,2.5987625122070312e-05,1.1205673217773438e-05,3.5762786865234375e-06,1.6689300537109375e-06,0.0015308856964111328
57,sugar,0.015483856201171875,0.032593488693237305,0.0006721019744873047,0.00039505958557128906,4.267692565917969e-05,2.002716064453125e-05,0.06249594688415527
58,three.js,4.088896989822388,178.91432285308838,0.1578226089477539,0.06240272521972656,0.002401113510131836,0.00014090538024902344,183.6924180984497
59,tween.js,0.0054929256439208984,0.01967453956604004,0.00023794174194335938,0.00014734268188476562,3.62396240234375e-05,1.5020370483398438e-05,0.02687525749206543
60,two.js,0.00785517692565918,0.7865667343139648,0.004134416580200195,0.0018074512481689453,0.0002582073211669922,1.2159347534179688e-05,0.9446780681610107
61,underscore.js,0.0474848747253418,4.047449588775635,0.008486509323120117,0.002504587173461914,0.00037550926208496094,2.6226043701171875e-05,4.143903017044067
62,velocity,0.011121034622192383,0.13329458236694336,0.0015473365783691406,0.002133607864379883,8.58306884765625e-05,1.1920928955078125e-05,0.15285706520080566
63,visibility.js,0.0011708736419677734,0.007296323776245117,0.00013780593872070312,6.508827209472656e-05,2.9802322387695312e-05,3.0994415283203125e-06,0.009226560592651367
64,webfont,0.0012388229370117188,0.0007295608520507812,3.910064697265625e-05,2.3603439331054688e-05,1.430511474609375e-05,6.9141387939453125e-06,0.002241849899291992
65,yepnope,0.0002579689025878906,0.0001697540283203125,1.5020370483398438e-05,9.775161743164062e-06,1.0251998901367188e-05,2.86102294921875e-06,0.0005497932434082031
66,yui,0.0528569221496582,0.15941500663757324,0.0013456344604492188,0.0007615089416503906,0.00014781951904296875,2.002716064453125e-05,0.217681884765625
67,zepto,0.0275418758392334,0.1409316062927246,0.0009512901306152344,0.0004968643188476562,4.100799560546875e-05,6.198883056640625e-06,0.18479061126708984
