Library,Url,CDNJS,# Star,# Version,PTV Fineness,LDC Fineness,F-F
FlexSlider,https://woocommerce.com/flexslider/,https://cdnjs.com/libraries/flexslider,4928,15,0.07,0.07,0.00
WebFont Loader,https://github.com/typekit/webfontloader,https://cdnjs.com/libraries/webfont,9139,49,0.14,0.02,0.12
SPF,https://youtube.github.io/spfjs/,https://cdnjs.com/libraries/spf,2194,11,0.18,0.09,0.09
FlotCharts,http://www.flotcharts.org/,https://cdnjs.com/libraries/flot,5949,54,0.19,0.09,0.09
FastClick,https://github.com/ftlabs/fastclick,https://cdnjs.com/libraries/fastclick,18721,33,0.21,0.03,0.18
Material Design Lite,https://getmdl.io/,https://cdnjs.com/libraries/material-design-lite,32215,18,0.22,0.06,0.17
Isotope,https://isotope.metafizzy.co/,https://cdnjs.com/libraries/jquery.isotope,10906,14,0.29,0.07,0.21
Tween.js,https://github.com/tweenjs/tween.js,https://cdnjs.com/libraries/tween.js,9444,57,0.30,0.02,0.28
Pusher,https://pusher.com/docs/,https://cdnjs.com/libraries/pusher,1989,60,0.32,0.27,0.05
IfVisible.js,http://serkanyersen.github.io/ifvisible.js/,https://cdnjs.com/libraries/ifvisible,1947,6,0.33,0.17,0.17
Socket.IO,https://socket.io/,https://cdnjs.com/libraries/socket.io,59115,126,0.33,0.25,0.09
AmplifyJS,http://amplifyjs.com/,https://cdnjs.com/libraries/amplifyjs,1457,3,0.33,0.33,0.00
yepnope,http://yepnopejs.com/,https://cdnjs.com/libraries/yepnope,2522,11,0.36,0.09,0.27
Closure Library,https://developers.google.com/closure/library/,https://cdnjs.com/libraries/google-closure-library,4777,15,0.40,0.07,0.33
Zepto.js,http://zeptojs.com,https://cdnjs.com/libraries/zepto,14996,19,0.42,0.05,0.37
Sugar,https://sugarjs.com,https://cdnjs.com/libraries/sugar,4514,38,0.42,0.08,0.34
Velocity.js,http://velocityjs.org/,https://cdnjs.com/libraries/velocity,17241,67,0.43,0.06,0.37
Bootstrap,http://getbootstrap.com/,https://cdnjs.com/libraries/bootstrap,165563,27,0.44,0.15,0.30
YUI 3,https://yuilibrary.com/,https://cdnjs.com/libraries/yui,4105,69,0.46,0.09,0.38
three.js,https://threejs.org/,https://cdnjs.com/libraries/three.js,94993,248,0.56,0.54,0.02
FuseJS,http://fusejs.io/,https://cdnjs.com/libraries/fuse.js,16622,76,0.61,0.53,0.08
Processing.js,http://processingjs.org,https://cdnjs.com/libraries/processing.js,3090,51,0.63,0.37,0.25
Head JS,http://headjs.com/,https://cdnjs.com/libraries/headjs,4170,9,0.67,0.11,0.56
LABjs,https://github.com/getify/LABjs,https://cdnjs.com/libraries/labjs,2278,3,0.67,0.33,0.33
core-js,https://github.com/zloirock/core-js,https://cdnjs.com/libraries/core-js,23071,206,0.78,0.42,0.36
Handsontable,https://handsontable.com/,https://cdnjs.com/libraries/handsontable,18337,183,0.80,0.22,0.58
Rapha&euml;l,http://dmitrybaranovskiy.github.io/raphael/,https://cdnjs.com/libraries/raphael,1518,30,0.83,0.60,0.23
Matter.js,http://brm.io/matter-js/,https://cdnjs.com/libraries/matter-js,15117,22,0.86,0.05,0.82
Handlebars,http://handlebarsjs.com/,https://cdnjs.com/libraries/handlebars.js,17429,78,0.87,0.72,0.15
Hammer.js,http://eightmedia.github.io/hammer.js/,https://cdnjs.com/libraries/hammer.js,23705,26,0.88,0.31,0.58
Riot,http://riotjs.com/,https://cdnjs.com/libraries/riot,14807,271,0.93,0.68,0.25
Backbone,http://backbonejs.org/,https://cdnjs.com/libraries/backbone.js,28026,33,0.94,0.94,0.00
Leaflet,http://leafletjs.com,https://cdnjs.com/libraries/leaflet,38621,51,0.94,0.92,0.02
CamanJS,http://camanjs.com/,https://cdnjs.com/libraries/camanjs,3513,18,0.94,0.44,0.50
Sea.js,https://seajs.github.io/seajs/docs/,https://cdnjs.com/libraries/seajs,8295,18,0.94,0.89,0.06
Two,https://two.js.org/,https://cdnjs.com/libraries/two.js,8077,36,0.94,0.89,0.06
Pixi.js,http://www.pixijs.com/,https://cdnjs.com/libraries/pixi.js,41100,90,0.94,0.89,0.06
Moment Timezone,http://momentjs.com/timezone/,https://cdnjs.com/libraries/moment-timezone,3758,60,0.95,0.90,0.05
Mustache,http://mustache.github.io/,https://cdnjs.com/libraries/mustache.js,16068,46,0.96,0.91,0.04
DC.js,http://dc-js.github.io/dc.js/,https://cdnjs.com/libraries/dc,7395,113,0.96,0.93,0.04
Numeral.js,http://numeraljs.com/,https://cdnjs.com/libraries/numeral.js,9505,31,0.97,0.94,0.03
Lo-Dash,https://lodash.com/,https://cdnjs.com/libraries/lodash.js,57667,112,0.97,0.95,0.03
Qooxdoo,http://www.qooxdoo.org/,https://cdnjs.com/libraries/qooxdoo,758,15,1.00,0.07,0.93
Visibility.js,https://github.com/ai/visibilityjs,https://cdnjs.com/libraries/visibility.js,1815,11,1.00,0.09,0.91
Modernizr,https://modernizr.com/,https://cdnjs.com/libraries/modernizr,25560,21,1.00,0.81,0.19
Fabric.js,http://fabricjs.com/,https://cdnjs.com/libraries/fabric.js,25961,131,1.00,0.92,0.08
Knockout,http://knockoutjs.com/,https://cdnjs.com/libraries/knockout,10376,15,1.00,0.93,0.07
Paper.js,http://paperjs.org/,https://cdnjs.com/libraries/paper.js,13949,50,1.00,0.96,0.04
InfoVis,http://philogb.github.com/jit/,https://cdnjs.com/libraries/jit,1508,2,1.00,1.00,0.00
jQuery Tools,http://jquerytools.github.io/,https://cdnjs.com/libraries/jquery-tools,1804,2,1.00,1.00,0.00
MooTools,http://mootools.net,https://cdnjs.com/libraries/mootools,2628,3,1.00,1.00,0.00
Ext JS,https://www.sencha.com/products/extjs/,https://cdnjs.com/libraries/extjs,0,4,1.00,1.00,0.00
Mapbox,https://www.mapbox.com/,https://cdnjs.com/libraries/mapbox.js,1903,4,1.00,1.00,0.00
Prototype,http://prototypejs.org,https://cdnjs.com/libraries/prototype,3519,5,1.00,1.00,0.00
Sammy,http://sammyjs.org,https://cdnjs.com/libraries/sammy.js,2993,6,1.00,1.00,0.00
jQuery Mobile,http://jquerymobile.com/,https://cdnjs.com/libraries/jquery-mobile,9718,10,1.00,1.00,0.00
jQuery UI,http://jqueryui.com,https://cdnjs.com/libraries/jqueryui,11178,27,1.00,1.00,0.00
RequireJS,http://requirejs.org/,https://cdnjs.com/libraries/require.js,12906,69,1.00,1.00,0.00
Dojo,http://dojotoolkit.org,https://cdnjs.com/libraries/dojo,1531,75,1.00,1.00,0.00
Underscore,http://underscorejs.org/,https://cdnjs.com/libraries/underscore.js,27086,75,1.00,1.00,0.00
Moment.js,http://momentjs.com/,https://cdnjs.com/libraries/moment.js,47549,76,1.00,1.00,0.00
jQuery,http://jquery.com,https://cdnjs.com/libraries/jquery,57871,82,1.00,1.00,0.00
Highcharts,http://www.highcharts.com,https://cdnjs.com/libraries/highcharts,11493,86,1.00,1.00,0.00
D3,https://d3js.org/,https://cdnjs.com/libraries/d3,106418,261,1.00,1.00,0.00
