Library,Library name,avg. |V|,avg. |Vm|,n,Color Set,T,T/n,V,|V|2,n|V|,n|V|2
AmplifyJS,amplifyjs,7,0,3,8.11E-06,8.51E-05,2.84E-05,21,441,63,1323
Backbone,backbone.js,86.3,3.3,33,0.076267,0.08412504,2.55E-03,2848,8111104,93984,267666432
Bootstrap,bootstrap,164,5.8,27,0.03204751,0.04489303,1.66E-03,4429,19616041,119583,529633107
CamanJS,camanjs,170.9,5.1,18,0.0558579,0.07531595,4.18E-03,3076,9461776,55368,170311968
core-js,core-js,230,3.5,206,6.060653687,6.433377028,3.12E-02,47376,2244485376,9759456,462363987456
DC.js,dc,242.1,3,113,9.304404259,9.683499098,8.57E-02,27356,748350736,3091228,84563633168
Dojo,dojo,957.9,4.2,75,24.98392844,26.65678501,3.55E-01,71842,5161272964,5388150,387095472300
Ext JS,extjs,991.2,4,4,0.09289289,0.1025352478,2.56E-02,3965,15721225,15860,62884900
Fabric.js,fabric.js,820,3.5,131,48.91074395,49.64788938,3.79E-01,107419,11538841561,14071889,1511588244491
FastClick,fastclick,4.1,2.4,33,0.00013566,0.00073504,2.23E-05,135,18225,4455,601425
FlexSlider,flexslider,8,0,15,9.06E-06,0.00025392,1.69E-05,120,14400,1800,216000
FlotCharts,flot,15.4,4,54,0.0011847,0.00456977,8.46E-05,834,695556,45036,37560024
FuseJS,fuse.js,12.6,3.1,76,0.02643942833,0.03451013565,4.54E-04,956,913936,72656,69459136
Closure Library,google-closure-library,270.2,4.8,15,0.02571201324,0.0368228,2.45E-03,4053,16426809,60795,246402135
Hammer.js,hammer.js,93.7,3.7,26,0.08209276,0.09070635,3.49E-03,2435,5929225,63310,154159850
Handlebars,handlebars.js,147.2,3.1,78,1.361253977,1.39994216,1.79E-02,11479,131767441,895362,10277860398
Handsontable,handsontable,223.7,3.8,183,7.924046516,8.250094891,4.51E-02,40929,1675183041,7490007,306558496503
Head JS,headjs,34.6,4,9,0.00120902,0.0020659,2.30E-04,311,96721,2799,870489
Highcharts,highcharts,515.2,3,86,13.45651054,13.82718897,1.61E-01,44308,1963198864,3810488,168835102304
IfVisible.js,ifvisible,31.2,2,6,6.41E-05,0.00036407,6.07E-05,187,34969,1122,209814
InfoVis,jit,761.5,4,2,0.00387216,0.00559092,2.80E-03,1523,2319529,3046,4639058
